License #,Status,Entity Name,Trade Name,Address,Class,Type 
A BRA -080606,Active,"Notta Bike or Bar, LLC",Meridian Pint,"3400 11TH ST NW, Washington, DC 20011",C,Tavern 
A BRA -081014,Active,"DTI Capital Hill, LLC",Cava Restaurant,"527 8TH ST SE, Washington, DC 20003",C,Tavern 
A BRA -081161,Active,"1620 DC, LLC",Blackfinn,"1620 I ST NW, Washington, DC 20006",C,Tavern 
A BRA -081238,Active,"The Public Group, LLC",Public Bar,"1214 A 18TH ST NW, #A, Washington, DC 20036",C,Tavern 
A BRA -081525,Active,"Iron Horse, LLC",Iron Horse,"507 7TH ST NW, Washington, DC 20004",C,Tavern 
A BRA -081804,Active,"Irish H, LLC",The Star and The Shamrock,"1341 H ST NE, Washington, DC 20002",C,Tavern 
A BRA -082034,Active,"The Black Rooster, LLC",Black Rooster Pub,"1919 L ST NW, Washington, DC 20036",C,Tavern 
A BRA -082216,Active,"Dickson THC, LLC",Dickson Wine,"903 U ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -082871,Active,Brixton Pub LLC,The Brixton,"901 U ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -083980,Active,Bloomingdale Hospitality LLC,Boundary Stone Public House,"116 RHODE ISLAND AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -084113,Active,"GC Latin Productions, LLC",Sabor Latino Bar & Grill,"3910 14TH ST NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -084584,Active,Engine 6 LLC,Sixth Engine,"438 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -084689,Active,"Modern Dining Concepts, LLC",The Haymaker,"1015 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -085120,Active,"DC Irish, LLC",Sign of the Whale,"1825 M ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -085258,Active,"YETENBI, INC",Noble Lounge,"1915 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -085617,Active,"AED, LLC",Rustik Tavern,"84 T ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -085710,Active,Canal 5 LLC,The Brig,"1007 8TH ST SE, WASHINGTON, DC",C,Tavern 
A BRA -086037,Active,"Mimi & D, LLC",Vita Restaurant and Lounge/Penthouse Nine,"1318 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -086093,Active,"Walking Stick Management, LLC",Bier Baron Hotel & Tavern,"1523 22ND ST NW, WASHINGTON, DC 20037",C,Tavern 
A BRA -086141,Active,"Lola's, LLC",Lola's,"711 8TH ST SE, WASHINGTON, DC 20003",C,Tavern 
A BRA -086320,Active,"Roundabout, LLC",Boundary Road Restaurant,"414 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -086384,Active,Highland Restaurant Group LLC,Acre 121,"1400 IRVING ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -086419,Active,"Irving Restaurant Group, LLC",Lou's Bar & Grill,"1400 IRVING ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -086424,Active,RA - IY LLC,SANKOFA CAFE,"2714 Georgia AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -086604,Active,"919 U STREET, LLC.",EL REY,"919 U ST NW, WASHINGTON, DC",C,Tavern 
A BRA -086613,Active,The Capital Wine School LLC,The Capital Wine School,"5207 WISCONSIN AVE NW, #7, WASHINGTON, DC 20015",C,Tavern 
A BRA -086803,Active,"PGS, LLC",Sauf Haus,"1216 18TH ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -087030,Active,"Kiel, LLC",Mova,"2204 14TH ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -087045,Active,Market Bars LLC,DC Reynolds,"3628 GEORGIA AVE NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -087558,Active,"Hoost, LLC",Nomad Hookah Bar,"1200 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -087780,Active,"Da Luft DC, Inc.",Da Luft Restaurant & Lounge,"1242 H ST NE, WASHINGTON, DC",C,Tavern 
A BRA -088603,Active,Impala LLC,Impala Cantina Y Taqueria,"1358 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -089141,Active,Stadium Sports LLC,Willie's Sports Brew & Que,"300 Tingey ST SE, #110, WASHINGTON, DC 20003",C,Tavern 
A BRA -089950,Active,Spork LLC,AnD,"1314 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -090258,Active,Fusion D & Q LLC,Hitching Post Restaurant,"200 UPSHUR ST NW, Washington, DC 20011",C,Tavern 
A BRA -090430,Active,BARDO LLC,Bardo,"1200 BLADENSBURG RD NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -090509,Active,JKM Incorporated,Lyman's,"3720 14TH ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -090582,Active,"Gypsy Sally's Acoustic Tavern, LLC",Gypsy Sally's,"3401 K ST NW, WASHINGTON, DC 20007",C,Tavern 
A BRA -090830,Active,TOP SHELF GROUP LLC,The Gryphon,"1337 CONNECTICUT AVE NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -090865,Active,"Buzz, LLC",Homestead,"3911 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -091140,Active,"Al's Market, LLC",Compass Rose,"1346 T ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -091197,Active,TAKOREAN AT UNION MARKET LLC,TAKOREAN,"1309 5TH ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -091244,Active,District Pub Group L.L.L.,Fainting Goat,"1330 U ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -091276,Active,"Kabin Group, LLC",Kabin,"1337 CONNECTICUT AVE NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -091418,Active,"Mockingbird Hill, LLC",Mockingbird Hill,"1843 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -091432,Active,Juanita's Inc.,Juanita's Restaurant,"3521 14TH ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -091602,Active,"Three Chords, LLC",Eat The Rich/Southern Efficiency,"1839 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -091607,Active,"Dunya, LLC",Dunya Restaurant & Lounge,"801 FLORIDA AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -091682,Active,SST MANAGEMENT LLC,BIN-1301,"1301 U ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -091887,Active,"Gebtri, Inc.",Cedar Hill Bar & Grill / Uniontown Bar & Grill,"2200 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020",C,Tavern 
A BRA -091915,Active,"Jackpot, LLC",Jackpot,"726 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -092010,Active,"Brookland's Finest, LLC",Brookland's Finest Bar & Kitchen,"3126 12TH ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -092192,Active,Fernando Postigo,Sol Mexican Grill,"1251 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -092242,Active,"T D BURGER DC, LLC",TD BURGER,"250 K ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -092357,Active,"Right Proper, LLC",Right Proper Brewing Company,"624 T ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -092423,Active,"Simple Bar and Grill, LLC",Simple Bar and Grill,"5828 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -092663,Active,"Bacio, LLC",Bacio Pizzeria,"81 SEATON PL NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -092685,Active,Historic Restaurants Inc,The Washington Firehouse Restaurant,"1626 North Capitol ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -092701,Active,"Baba's Cooking School, LLC",EatsPlace,"3607 GEORGIA AVE NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -092705,Active,SANDOVAN INC.,Sandovan Restaurant & Lounge,"4809 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -092773,Active,"DACI ENTERPRISES, LLC",DACHA BEER GARDEN,"1600 7th ST NW, WASHINGTON, DC",C,Tavern 
A BRA -092860,Active,"Ivey and Coney, LLC",Ivy and Coney,"1537 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
