License #,Status,Entity Name,Trade Name,Address,Class,Type 
A BRA -099505,405.1 New Const,"Cotton & Reed, Inc.",Cotton & Reed,"1330 5TH ST NW, WASHINGTON, DC 20001",A,Manufacturer 
A BRA -087725,Active,New Columbia Distillers LLC.,New Columbia Distillers,"1832 FENWICK ST NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -087859,Active,Think Italian LLC,Don Ciccio & Figli,"6031 KANSAS AVE NW, WASHINGTON, DC 20011",A,Manufacturer 
A BRA -092751,Active,"One-Eight Distilling, LLC",One-Eight Distilling,"1135 OKIE ST NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -097516,Active,Right Forward LLC,Right Proper Brewing Company,"920 GIRARD ST NE, WASHINGTON, DC 20017",A,Manufacturer 
A BRA -097825,Active,"Jos. A. Magnus & Co., LLC",Jos. A. Magnus & Co.,"2052 WEST VIRGINIA AVE NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -101343,Active,"REPUBLIC RESTORATIVES, LLC",REPUBLIC RESTORA TIVES,"1369 NEW YORK AVE NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -102895,Active,"VC Imports, LLC",Vintage Cellars,"301 New York AVE NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -077726,Active,"Tae Kwang, Inc.",Sylvia's Liquors,"1818 BENNING RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -080559,Active,"Brentwood Road Beverages, LLC",Woodridge Vet's Liquors,"1358 BRENTWOOD RD NE, Washington, DC 20018",A,Retail - Liquor Store 
A BRA -080830,Active,"Majestic Beverage Sales, LLC",Circle Wine & Spirits,"5501 CONNECTICUT AVE NW, WASHINGTON, DC 20015",A,Retail - Liquor Store 
A BRA -080900,Active,AG Corporation,Fairmont Liquor & Grocery,"2633 SHERMAN AVE NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -081464,Active,"Weygandt Wines, LLC",Weygandt Wines,"3519 CONNECTICUT AVE NW, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -082040,Active,"Y & J CHUNG, CORP",Log Cabin Liquor,"1748 7TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -082054,Active,"Vinnakota-Chon, Inc.",Lax Wine & Spirits,"3035 NAYLOR RD SE, Washington, DC 20020",A,Retail - Liquor Store 
A BRA -082076,Active,"Uncha, Inc.",Weltman's Liquors,"3938 MINNESOTA AVE NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -082981,Active,YOHANNES A. WOLDEMICHAEL,Capitol Fine Wine & Spirits,"415 H ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -084123,Active,"12 & G Spirits, LLC",Imperial Wine & Spirits,"620 12TH ST NW, WASHINGTON, DC 20005",A,Retail - Liquor Store 
A BRA -084240,Active,"Lin's spirit, Inc.",JB Liquors,"3914 14TH ST NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -084387,Active,Pour Liquor & More LLC,Modern Liquors,"901 M ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -084582,Active,"1618 Variety Market, LLC",1618 Variety Market,"1618 8th ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -084834,Active,"909 NJ, LLC",Harry's Reserve,"909 NEW JERSEY AVE SE, WASHINGTON, DC 20003",A,Retail - Liquor Store 
A BRA -084939,Active,"Lee's Mini Market, Inc.",Lee's Mini Market,"3853 Alabama AVE SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -085209,Active,"Jade Liquors, Inc.",Georgetown Wine and Spirits,"1500 27TH ST NW, WASHINGTON, DC 20007",A,Retail - Liquor Store 
A BRA -085215,Active,"H & M Liquors, Inc.",Shipley Liquors,"2281 SAVANNAH ST SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -085918,Active,"Eun & Peter, Inc.",Uncle Lee's Seafood,"1102 EASTERN AVE NE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
A BRA -085968,Active,"GG Liquor and Wine, LLC",Cavalier Wine and Liquors,"3515 14TH ST NW, WASHINGTON, DC 20010",A,Retail - Liquor Store 
A BRA -086022,Active,Krishna Corporation,Sherry's Wine and Spirits,"2627 CONNECTICUT AVE NW, WASHINGTON, DC 20008",A,Retail - Liquor Store 
A BRA -086200,Active,"YONAS, INC.",CORNER MARKET,"1447 Howard RD SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -086268,Active,Central Wines LLC,Central Liquors,"625 E ST NW, WASHINGTON, DC 20004",A,Retail - Liquor Store 
A BRA -086394,Active,Pega Corporation,Burka's Fine Wines & Liquors,"3500 Wisconsin AVE NW, WASHINGTON, DC 20016",A,Retail - Liquor Store 
A BRA -086593,Active,"JCC, Inc.",Meade Wine & Liquors,"3919 South Capitol ST SW, WASHINGTON, DC 20032",A,Retail - Liquor Store 
A BRA -086912,Active,"Kay Dee, Inc.",Woodward Liquors,"6111 BLAIR RD NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -086950,Active,Dayal Investments Inc,Logan Circle Liquors,"1018 RHODE ISLAND AVE NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -087100,Active,"CSB, LLC",Southern Express Liquors,"4416 Southern AVE SE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
A BRA -087537,Active,"Wine Specialist Store, LLC",The Wine Specialist,"1133 20th ST NW, WASHINGTON, DC 20036",A,Retail - Liquor Store 
A BRA -087806,Active,"Shin & Jang, Inc.",King's Deli & Grocery,"3651 GEORGIA AVE NW, WASHINGTON, DC 20010",A,Retail - Liquor Store 
A BRA -087818,Active,Asmara Incorporated,Kenilworth Market,"1612 KENILWORTH AVE NE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
A BRA -087970,Active,"Limited Release, LLC",Batch 13,"1724 14TH ST NW, WASHINGTON, DC 20009",A,Retail - Liquor Store 
A BRA -088025,Active,Deccan Group LLC,State Liquors,"2159 P ST NW, WASHINGTON, DC 20037",A,Retail - Liquor Store 
A BRA -088121,Active,"A & P Liquors, LLC",Crown Liquors,"1325 Connecticut AVE NW, WASHINGTON, DC 20036",A,Retail - Liquor Store 
A BRA -088122,Active,HR Enterprises Inc,Wheeler Liquors,"4137 WHEELER RD SE, WASHINGTON, DC 20032",A,Retail - Liquor Store 
A BRA -088173,Active,6220 Georgia LLC,Victor Liquors,"6220 GEORGIA AVE NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -088221,Active,Lion Gate Inc,Lion's Fine Wine & Spirits,"3614 GEORGIA AVE NW, WASHINGTON, DC 20010",A,Retail - Liquor Store 
A BRA -088495,Active,"EZ, LLC",Brookland Market,"3736 10TH ST NE, WASHINGTON, DC 20017",A,Retail - Liquor Store 
A BRA -089004,Active,Woodner Market LLC,The Woodner Market,"3636 16TH ST NW, WASHINGTON, DC 20010",A,Retail - Liquor Store 
A BRA -089011,Active,Moonkor Corporation,S.E. Market,"1500 INDEPENDENCE AVE SE, WASHINGTON, DC 20003",A,Retail - Liquor Store 
A BRA -089012,Active,Cork & Bottle Incorporated,Cork N Bottle Wine & Spirits,"7421 GEORGIA AVE NW, WASHINGTON, DC 20012",A,Retail - Liquor Store 
A BRA -089200,Active,"Arrowine DC, Inc.",A rrowine,"2175 K ST NW, WASHINGTON, DC 20037",A,Retail - Liquor Store 
A BRA -089439,Active,"Dove House Wine & Spirits, Inc.",Dove House Liquors,"1905 9TH ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -089498,Active,Costco Wholesale Corporation,Costco Wholesale #1120,"2441 Market ST NE, WASHINGTON, DC 20018",A,Retail - Liquor Store 
A BRA -089508,Active,Myongwoo Inc.,Grand Liquors,"409 15TH ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -089532,Active,"ANS Enterprises, Inc.",University Wine & Spirit,"333 Hawaii AVE NE, WASHINGTON, DC",A,Retail - Liquor Store 
A BRA -089591,Active,"7 River, LLC",7 River Mart,"250 11TH ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -089730,Active,Federal Spirits,FEDERAL SPIRITS-OFF PREMISES STORAGE UNIT PERMIT,"1629 K ST NW, STE #300, WASHINGTON, DC 20006",A,Retail - Liquor Store 
A BRA -090132,Active,Morris Miller Inc,Morris Miller Liquors,"7804 ALASKA AVE NW, WASHINGTON, DC 20012",A,Retail - Liquor Store 
A BRA -090154,Active,"D.J. Jackson, Inc.",Mart Liquors,"2931 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",A,Retail - Liquor Store 
A BRA -090659,Active,Quang V. Le,Le Liquors,"1776 COLUMBIA RD NW, WASHINGTON, DC 20009",A,Retail - Liquor Store 
A BRA -090800,Active,"Cordial Union, LLC",Cordial Fine Wine and Beer,"1309 5TH ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -091013,Active,"Sedona, Inc.",McReynold's Liquors,"1776 G ST NW, WASHINGTON, DC 20006",A,Retail - Liquor Store 
A BRA -091095,Active,Holiday Family Liquor Inc,Holiday Liquors,"3505 WHEELER RD SE, Washington, DC 20032",A,Retail - Liquor Store 
A BRA -091195,Active,"MGDWS, LLC",Magruder's of DC,"5618 CONNECTICUT AVE NW, Washington, DC 20015",A,Retail - Liquor Store 
A BRA -091199,Active,"D C Vines, LLC",D'Vines,"3103 14TH ST NW, Washington, DC 20010",A,Retail - Liquor Store 
A BRA -092419,Active,YAKP Incorporation,Kiflu's Wine & Spirits,"1201 5TH ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -092450,Active,"KGB LIQUOR, INC.",Spar Liquor,"3916 SOUTH CAPITOL ST SE, WASHINGTON, DC 20032",A,Retail - Liquor Store 
A BRA -092840,Active,"401M, Inc",Eye Street Cellars,"425 I ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -093799,Active,"Hananias Food Service, Inc.",Reyna Mkt & Deli,"4201 MASSACHUSETTS AVE NW, WASHINGTON, DC 20016",A,Retail - Liquor Store 
A BRA -093813,Active,JLC INC,Towne Wine & Liquor,"1326 WISCONSIN AVE NW, Washington, DC 20007",A,Retail - Liquor Store 
A BRA -093868,Active,"Premier Wines, LLC",Premier Wines,"2414 DOUGLAS ST NE, WASHINGTON, DC 20018",A,Retail - Liquor Store 
A BRA -094178,Active,S & G Inc.,Park Market,"3400 13TH ST NW, WASHINGTON, DC 20010",A,Retail - Liquor Store 
A BRA -094229,Active,"Sole Properties, LLC",Hamilton Liquors,"5205 GEORGIA AVE NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -094230,Active,"Cellar Trading, LLC",Cellar Trading,"4221 CONNECTICUT AVE NW, WASHINGTON, DC 20008",A,Retail - Liquor Store 
A BRA -094605,Active,"RMG, Inc.",World Wine and Spirits,"1453 PENNSYLVANIA AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -094621,Active,BODEGA MARKET LLC,Bodega Market,"1136 FLORIDA AVE NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -094776,Active,"Texas Convenience Store, Inc.",Texas Grocery Store,"4350 TEXAS AVE SE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
A BRA -094779,Active,"DREAM TWO LIQUOR, INC,.",Malcolm Liquors,"3845 MINNESOTA AVE NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -095032,Active,ALAZAR INC,Edgewood International Wine and Spirits,"2303 4TH ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -095251,Active,"10th STREET MARKET DC, INC.",10th Street Market,"1000 S ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -095312,Active,"CCWS, LLC",Chevy Chase Wine & Spirits,"5544 CONNECTICUT AVE NW, Washington, DC 20015",A,Retail - Liquor Store 
A BRA -095751,Active,Daniman L.L.C.,Lee's Liquor,"2339 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -095818,Active,GALLAGHER & GRAHAM LLC,Gallagher & Graham Fine Spirits,"1939 12TH ST NW, #301, WASHINGTON, DC 20009",A,Retail - Liquor Store 
A BRA -095926,Active,T Jiya Sohal Corporation,Sunset Wine & Spirit,"1627 1ST ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -095984,Active,NINE NINES INC.,Bell Wine & Liquor,"1821 M ST NW, Washington, DC 20036",A,Retail - Liquor Store 
A BRA -096105,Active,"Ratnakrupa, LLC",Peacock Liquors,"1625 NEW YORK AVE NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -096628,Active,"Aki Muller & Eyob, LLC",Ocean Front Liquors,"4682 MARTIN LUTHER KING JR AVE SW, WASHINGTON, DC 20032",A,Retail - Liquor Store 
A BRA -096780,Active,"Hugomar, LLC",Wide World Of Wines,"2201 WISCONSIN AVE NW, Washington, DC 20007",A,Retail - Liquor Store 
A BRA -097033,Active,Golden Angel Trading Inc.,Golden Angel Trading Inc.,"914 Rhode Island AVE NE, WASHINGTON, DC 20018",A,Retail - Liquor Store 
A BRA -097197,Active,"I M Shin Enterprises, Inc.",Market Of Columbia Plaza,"516 23RD ST NW, Washington, DC 20037",A,Retail - Liquor Store 
A BRA -097252,Active,"S. R. Brothers, Inc",S & R Liquors,"1015 18TH ST NW, WASHINGTON, DC 20036",A,Retail - Liquor Store 
A BRA -097473,Active,"T and A, LLC",Montana Liquors,"1801 Montana AVE NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -097605,Active,RED SEA INC.,Dennies Liquors,"5000 BENNING RD SE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
A BRA -097883,Active,"Gokulesh, LLC","Hop, Cask, & Barrel","1717 WISCONSIN AVE NW, WASHINGTON, DC 20007",A,Retail - Liquor Store 
A BRA -098021,Active,"Wonjin Liquors, Inc.",Benning Liquors,"3445 BENNING RD NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -098255,Active,BIG D CORPORATION,Big D Liquors,"4173 MINNESOTA AVE NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -098478,Active,BK ENTERPRISES INC.,Best One Liquor,"322 FLORIDA AVE NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -098506,Active,BT & G INC,Franklin Liquors & Market,"2723 7TH ST NE, WASHINGTON, DC 20017",A,Retail - Liquor Store 
A BRA -098591,Active,SOMMPICKS LLC-ONLINE SA LES,SOMMPICKS,"4221 CONNECTICUT AVE NW, WASHINGTON, DC 200008",A,Retail - Liquor Store 
A BRA -098972,Active,"Hard Oak, Inc",Colony Liquors,"4901 GEORGIA AVE NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -099920,Active,"MJC of Rok, Inc.",Stop & Shop Liquors,"3011 Rhode Island AVE NE, WASHINGTON, DC 20018",A,Retail - Liquor Store 
A BRA -100211,Active,"K & W Legacy, LLC",Capitol Hill Wine & Spirits,"323 PENNSYLVANIA AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -100341,Active,"Wardman Wines, LLC",Wardman Wines,"625 Monroe ST NE, STE A7, WASHINGTON, DC 20017",A,Retail - Liquor Store 
A BRA -100541,Active,"Joseph B. Yoon, Inc.",J J Liquors,"1211 BRENTWOOD RD NE, WASHINGTON, DC 20018",A,Retail - Liquor Store 
A BRA -100880,Active,Wisconsin Ave Imports LLC,Pearson's Wine and Spirits,"2436 WISCONSIN AVE NW, WASHINGTON, DC 20007",A,Retail - Liquor Store 
A BRA -100881,Active,"Harvard Joha Inc.,",Harvard Liquors,"2901 SHERMAN AVE NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -101095,Active,VENUS 2 INC,9 & P St. Liquor,"1428 9TH ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -101190,Active,"PENN BRANCH DC, INC.",Penn Branch Liquor,"3228 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -101261,Active,"GoBrands, Inc.",Go Puff - Rive,"3401 WATER ST NW, WASHINGTON, DC 20007",A,Retail - Liquor Store 
A BRA -101642,Active,"Shangari Holdings, LLC",Jefferson Liquors,"5307 GEORGIA AVE NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -101774,Active,R Squared Selections LLC,R Squared Selections,"4221 CONNECTICUT AVE NW, WASHINGTON, DC 20008",A,Retail - Liquor Store 
A BRA -102370,Active,"1447 Maryland Ave Holding, LLC",New York Liquors,"1447 MARYLAND AVE NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -102372,Active,"EVER YANG, INC.",Sunny's Liquor,"2400 MARTIN LUTHER KING JR AVE SE, Washington, DC 20020",A,Retail - Liquor Store 
A BRA -102521,Active,"District Still, LLC",District Still,"175 R ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -000010,Active,Pauls Liquors Inc.,Pauls Discount Wine & Liquor,"5205 WISCONSIN AVE NW, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -000023,Active,Don Ho Inc,District Liquors,"1211 11TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -000037,Active,The Fischer Corporation,Riverside Liquors,"2123 E ST NW, Washington, DC 20037",A,Retail - Liquor Store 
A BRA -000104,Active,"MacArthur Liquors, Inc.",Bassin's MacArthur Liquors,"4877 MACARTHUR BLVD NW, Washington, DC 20007",A,Retail - Liquor Store 
A BRA -000200,Active,"B & O Liquors, Inc.",Chat's Liquors,"503 8TH ST SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -000222,Active,"Bob-kat, Inc.",Minnesota Liquors,"2237 MINNESOTA AVE SE, Washington, DC 20032",A,Retail - Liquor Store 
A BRA -000252,Active,"Schneiders Liquor Co., Inc",Schneider's of Capitol Hill,"300 MASSACHUSETTS AVE NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -000301,Active,"Lee-Irving Liquor, Inc.",Irving Wine & Spirits,"3100 MT PLEASANT ST NW, Washington, DC 20010",A,Retail - Liquor Store 
A BRA -000343,Active,"W & R, Inc.",Cairo Liquor Store,"1618 17TH ST NW, Washington, DC 20009",A,Retail - Liquor Store 
A BRA -000407,Active,"Melm, Inc.",Dave Brown Wine & Liquors,"4721 SHERIFF RD NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -000420,Active,"Jumbo Liquors, Inc.",Jumbo Liquors,"1122 H ST NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -000434,Active,Sheldon Plotnick,Target Liquor,"500 KENNEDY ST NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -000437,Active,Hayden's Inc.,"Hayden's, Inc.","700 NORTH CAROLINA AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -001926,Active,"Gabriel, Inc.",Potomac Wines And Spirits,"3100 M ST NW, Washington, DC 20007",A,Retail - Liquor Store 
A BRA -002195,Active,Safeway Inc.,Safeway,"415 14TH ST SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -003730,Active,"Woodley Wine & Liquor, Inc.",Calvert Woodley Wine & Liquor,"4339 CONNECTICUT AVE NW, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -009122,Active,"Watson Deli, Inc.",S & J Liquors,"1500 MASSACHUSETTS AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -009272,Active,Sun Ok Kim,Strand Liquors,"605 DIVISION AVE NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -011823,Active,"Lucas & Associates, Inc.",Best-In Liquors,"1450 P ST NW, Washington, DC 20005",A,Retail - Liquor Store 
A BRA -013855,Active,"Union Wine & Liquor, Inc.",Union Wine & Liquor,"50 MASSACHUSETTS AVE NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -014341,Active,"Silverman's-Mun Liquors, Inc",Silvermans Liquors,"2033 BENNING RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -014553,Active,"Ace Beverages of Washington DC, Inc.",Ace Beverage,"3301 NEW MEXICO AVE NW, #A, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -015699,Active,"F & A Enterprises, Inc",Wagshals Liquor & Deli,"4855 MASSACHUSETTS AVE NW, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -015724,Active,"S T C, Inc.",Washington Wine & Liquors,"1200 E ST NW, Washington, DC 20004",A,Retail - Liquor Store 
A BRA -016425,Active,In Soon Park,Cathedral Liquors,"3000 CONNECTICUT AVE NW, #A, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -016866,Active,"4652 Livingston, Inc.",South Capitol Liquors,"4652 LIVINGSTON RD SE, Washington, DC 20032",A,Retail - Liquor Store 
A BRA -016969,Active,"Tri-Dev, Inc.",Cleveland Park Liquors,"3423 CONNECTICUT AVE NW, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -019598,Active,"Manee Enterprises, Inc.",Takoma Park Liquors,"6200 EASTERN AVE NE, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -019710,Active,"F. K. T. Enterprises, Inc.",Florida Liquors,"2222 14TH ST NW, Washington, DC 20009",A,Retail - Liquor Store 
A BRA -021266,Active,"Ganducci, Inc.",Martin's Wine & Spirits,"1919 FLORIDA AVE NW, Washington, DC 20009",A,Retail - Liquor Store 
A BRA -021972,Active,"Three Way Liquors, Inc.",Three Way Liquors Inc,"4823 GEORGIA AVE NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -022581,Active,"Milka & Mann, Inc.",Rocket Liquors,"900 KENNEDY ST NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -023116,Active,Young Myung Kim,CC's Liquor,"3401 14TH ST NW, Washington, DC 20010",A,Retail - Liquor Store 
A BRA -023501,Active,"New Da Hsin Trading, Inc.","New Da Hsin Trading, Inc","811 7TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -023640,Active,H & Y Chun Corporation,Michigan Liquors,"3934 12TH ST NE, Washington, DC 20017",A,Retail - Liquor Store 
A BRA -023822,Active,"Prerna, Inc",Barmy Wine and Liquors,"1912 L ST NW, Washington, DC 20036",A,Retail - Liquor Store 
A BRA -023984,Active,"MG Liquors, Inc.",Barrel House Liquors,"1339 14TH ST NW, WASHINGTON, DC 20005",A,Retail - Liquor Store 
A BRA -024522,Active,"R S Liquors, Inc",Cap Liquors,"1301 SOUTH CAPITOL ST SW, Washington, DC 20024",A,Retail - Liquor Store 
A BRA -024868,Active,"Starlight, Inc.",Kogod Liquors,"441 NEW JERSEY AVE NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -025523,Active,Bhuller's Corporation,JJ Mutt Wine & Spirits,"643 PENNSYLVANIA AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -026226,Active,"ZSM, Inc",Papa's Liquors,"3703 MACOMB ST NW, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -026228,Active,"Jas & Jassi, Inc.",Big Valu Liquors,"3174 BLADENSBURG RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -026574,Active,2325 Bladensburg Rd Corp,Syd's,"2325 BLADENSBURG RD NE, Washington, DC 20018",A,Retail - Liquor Store 
A BRA -060116,Active,"Mohabat, Inc.",Good Ole Reliable Liquors,"1513 RHODE ISLAND AVE NE, Washington, DC 20018",A,Retail - Liquor Store 
A BRA -060177,Active,Sanghera Corporation,King Avenue Liquors,"2757 M.L. KING JR., AVE SE, Washington, DC 20032",A,Retail - Liquor Store 
A BRA -060231,Active,O'Connors Liquor Incorporated,O'Connor's Liquors,"2900 MINNESOTA AVE SE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -060242,Active,"Venus Indo Services, Inc.",Pan Mar Liquors,"1926 I ST NW, Washington, DC 20006",A,Retail - Liquor Store 
A BRA -060270,Active,"Northwest Liquors, Inc.",Northwest Liquors,"300 KENNEDY ST NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -060351,Active,"DK, Corporation",Joe Caplan Liquors,"1913 7TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -060414,Active,"B & M, Inc.",Bacchus Wine Cellar,"1635 WISCONSIN AVE NW, Washington, DC 20007",A,Retail - Liquor Store 
A BRA -060423,Active,J. S. & W. C. Incorporated,Capitol City Wine & Spirits,"500 K ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -060424,Active,Nara Incorporated,Bloomingdale Wine and Spirits,"1836 1ST ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -060496,Active,"LAL, Inc.",Roha Liquors,"620 KENNEDY ST NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -060532,Active,"JY Rigg's Liquors, Inc.",Rigg's Liquors,"5581 S DAKOTA AVE NE, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -060561,Active,"Hargunn, Inc.",Mayfair Liquors,"7312 GEORGIA AVE NW, Washington, DC 20012",A,Retail - Liquor Store 
A BRA -060563,Active,Arlington Beverage Corp,Sheffield Wine And Liquors,"5025 CONNECTICUT AVE NW, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -060602,Active,Shree Corporation,Metro Wine & Spirits,"1726 COLUMBIA RD NW, Washington, DC 20010",A,Retail - Liquor Store 
A BRA -060652,Active,"TM Liquors, Inc.",Big Ben Liquors,"1300 NORTH CAPITOL ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -060659,Active,"Lucky Time Liquors, LLC",Shulman Liquors,"1550 1ST ST SW, Washington, DC 20024",A,Retail - Liquor Store 
A BRA -060751,Active,"Rosebud Liquor, Inc.",Rosebud Liquor,"1711 17TH ST NW, Washington, DC 20009",A,Retail - Liquor Store 
A BRA -060758,Active,"Mac's Liquors, Inc.",Mac's Wine & Liquors,"401 RHODE ISLAND AVE NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -060821,Active,"Lucy Enterprises, Inc",Tenley Market/Liquor,"4326 WISCONSIN AVE NW, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -060822,Active,"Yi Kheng Ung Liquors, LLC",Roses Queen Liquors,"830 BLADENSBURG RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -070310,Active,"Sunami, LLC",Sportsman Wine And Liquors,"3249 MT PLEASANT ST NW, Washington, DC 20010",A,Retail - Liquor Store 
A BRA -070948,Active,"JCP Liquors, Inc.",Seymours Liquors,"5581 CENTRAL AVE SE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -071204,Active,M & K Inc,ABC Grocery,"1401 6TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -071312,Active,"AKB Enterprises, Inc.",Gandel's Liquors,"211 PENNSYLVANIA AVE SE, Washington, DC 20003",A,Retail - Liquor Store 
A BRA -071601,Active,"Yoef, Inc.",Stanton Liquors,"1044 BLADENSBURG RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -071950,Active,"Soo & Chan, Inc.",Georgia Avenue Food Barn,"6205 GEORGIA AVE NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -072037,Active,"Lucky Pioneer, Inc,",Mac Market & Deli,"5185 MACARTHUR BLVD NW, Washington, DC 20016",A,Retail - Liquor Store 
A BRA -072074,Active,"Yene, Incorporated",Brightwood Liquors,"5916 GEORGIA AVE NW, Washington, DC 20011",A,Retail - Liquor Store 
A BRA -072113,Active,"R.K.S.R., Inc.",Whelans Liquors,"3903 12TH ST NE, Washington, DC 20017",A,Retail - Liquor Store 
A BRA -072213,Active,"Universal Daruwala, LLC",Universal Liquors,"2018 FLORIDA AVE NW, Washington, DC 20009",A,Retail - Liquor Store 
